Channel 1,Channel 2
3875.07,3267.38
3875.66,3268.07
3875.56,3267.92
3875.78,3267.5
3875.49,3267.21
3875.39,3267.21
3875.51,3267.29
3875.51,3267.19
3875.51,3267.53
3875.59,3267.43
3875.71,3267.07
3875.56,3266.92
3875.29,3267.07
3875.1,3266.33
3875.27,3266.82
3875.12,3266.58
3875.15,3266.6
3874.93,3267.02
3875.12,3266.6
3874.88,3266.63
3874.9,3266.46
3874.9,3266.24
3874.93,3266.24
3874.56,3266.28
3874.71,3266.14
3874.58,3266.06
3874.56,3266.24
3874.71,3266.48
3874.83,3266.11
3874.83,3266.31
3874.88,3266.04
3874.73,3266.04
3874.71,3265.87
3874.68,3265.6
3874.51,3265.5
3874.39,3265.48
3874.34,3265.36
3874.24,3265.16
3874.34,3265.19
3874.22,3264.94
3874.39,3265.01
3874.27,3264.72
3874.07,3264.65
3874.29,3264.36
3874.32,3264.55
3874.29,3264.33
3874.05,3264.23
3874.34,3264.28
3874.29,3264.67
3874.83,3265.87
3875.66,3267.14
3875.93,3267.55
3876.46,3267.55
3876.22,3267.29
3875.93,3267.19
3875.9,3266.72
3875.63,3266.53
3875.71,3266.77
3875.88,3266.77
3876.1,3266.85
3876.05,3266.72
3875.73,3266.48
3875.73,3266.26
3875.83,3266.28
3875.56,3266.04
3875.63,3266.24
3875.68,3266.02
3875.78,3265.99
3875.51,3265.77
3875.44,3265.84
3875.39,3265.72
3875.32,3265.43
3875.56,3265.28
3875.56,3265.38
3875.51,3265.19
3875.34,3265.23
3875.34,3265.41
3875.29,3265.33
3875.2,3265.04
3875.15,3265.04
3875.24,3265.38
3875.1,3265.28
3875.17,3264.94
3875.22,3265.09
3875.07,3264.99
3874.8,3264.75
3874.93,3264.77
3874.73,3264.92
3874.78,3264.6
3874.76,3264.53
3874.78,3264.43
3874.71,3264.33
3874.66,3264.53
3874.73,3264.31
3874.56,3264.23
3874.63,3264.53
3874.98,3265.89
3875.66,3266.67
3876.17,3267.41
3876.12,3267.7
3876.49,3267.33
3876.03,3266.97
3876.05,3266.92
3875.83,3266.87
3875.76,3267.09
3875.81,3266.89
3875.95,3267.02
3875.88,3266.87
