Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9888,-63,-63,0,0
9899,-74,-74,0,0
9893,-68,-68,0,0
9880,-55,-55,0,0
9886,-61,-61,0,0
9869,-44,-44,0,0
9858,-33,-33,0,0
9843,-18,-18,0,0
9797,28,28,0,0
9758,67,67,0,0
9754,71,71,0,0
9765,60,60,0,0
9760,65,65,0,0
9726,99,99,0,0
9748,77,77,0,0
9723,102,102,0,0
9722,103,103,0,0
9720,105,105,0,0
9731,94,94,0,0
9720,105,105,0,0
9673,152,152,0,0
9693,132,132,0,0
9694,131,131,0,0
9718,107,107,0,0
9717,108,108,0,0
9703,122,122,0,0
9718,107,107,0,0
9708,117,117,0,0
9737,88,88,0,0
9725,100,100,0,0
9729,96,96,0,0
9723,102,102,0,0
9712,113,113,0,0
9719,106,106,0,0
9709,116,116,0,0
9738,87,87,0,0
9728,97,97,0,0
9717,108,108,0,0
9715,110,110,0,0
9728,97,97,0,0
9732,93,93,0,0
9716,109,109,0,0
9739,86,86,0,0
9722,103,103,0,0
9699,126,126,0,0
9699,126,126,0,0
9683,142,142,0,0
9709,116,116,0,0
9740,85,85,0,0
9708,117,117,0,0
9731,94,94,0,0
9740,85,85,0,0
9723,102,102,0,0
9732,93,93,0,0
9727,98,98,0,0
9729,96,96,0,0
9735,90,90,0,0
9735,90,90,0,0
9717,108,108,0,0
9708,117,117,0,0
9743,82,82,0,0
9730,95,95,0,0
9738,87,87,0,0
9735,90,90,0,0
9731,94,94,0,0
9736,89,89,0,0
9748,77,77,0,0
9736,89,89,0,0
9734,91,91,0,0
9721,104,104,0,0
9695,130,130,0,0
9712,113,113,0,0
9735,90,90,0,0
9735,90,90,0,0
9726,99,99,0,0
9747,78,78,0,0
9724,101,101,0,0
9739,86,86,0,0
9759,66,66,0,0
9751,74,74,0,0
9746,79,79,0,0
9737,88,88,0,0
9735,90,90,0,0
9713,112,112,0,0
9741,84,84,0,0
9741,84,84,0,0
9745,80,80,0,0
9755,70,70,0,0
9744,81,81,0,0
9738,87,87,0,0
9765,60,60,0,0
9781,44,44,0,0
9774,51,51,0,0
9741,84,84,0,0
9750,75,75,0,0
9745,80,80,0,0
9773,52,52,0,0
9792,33,33,0,0
9774,51,51,0,0
9784,41,41,0,0
9786,39,39,0,0
9782,43,43,0,0
9790,35,35,0,0
9763,62,62,0,0
9802,23,23,0,0
9792,33,33,0,0
9773,52,52,0,0
9773,52,52,0,0
9811,14,14,0,0
9817,8,8,0,0
9790,35,35,0,0
9799,26,26,0,0
9808,17,17,0,0
9800,25,25,0,0
9809,16,16,0,0
9805,20,20,0,0
9812,13,13,0,0
9815,10,10,0,0
9785,40,40,0,0
9793,32,32,0,0
9813,12,12,0,0
9828,-3,-3,0,0
9808,17,17,0,0
9815,10,10,0,0
9825,0,0,0,0
9809,16,16,0,0
9820,5,5,0,0
9834,-9,-9,0,0
9822,3,3,0,0
9804,21,21,0,0
9820,5,5,0,0
9801,24,24,0,0
9802,23,23,0,0
9840,-15,-15,0,0
9829,-4,-4,0,0
9818,7,7,0,0
9831,-6,-6,0,0
9825,0,0,0,0
9824,1,1,0,0
9836,-11,-11,0,0
9819,6,6,0,0
9831,-6,-6,0,0
9824,1,1,0,0
9801,24,24,0,0
9804,21,21,0,0
