Channel 1,Channel 2, Channel 3
9725,111,111
9716,115,113
9704,120,115
9745,115,115
9746,105,113
9734,96,109
9726,96,103
9753,96,98
9748,95,95
9734,95,95
9752,86,93
9748,88,91
9725,95,91
9720,99,92
9712,113,98
9743,113,105
9754,104,107
9736,96,106
9737,96,102
9728,99,98
9752,99,97
9744,95,97
9740,94,96
9748,90,94
9716,94,93
9718,107,96
9716,119,102
9747,119,109
9743,105,112
9754,91,108
9736,91,101
9760,87,93
9762,79,87
9737,87,86
9745,83,84
9752,87,84
9752,87,86
9741,87,86
9723,89,87
9744,93,89
9779,93,90
9757,85,90
9754,80,87
9761,77,83
9759,78,80
9769,76,77
9770,71,75
9770,66,72
9768,66,69
9763,67,67
9739,70,67
9745,82,71
9762,82,75
9751,88,80
9762,79,82
9775,74,80
9761,74,78
9773,68,73
9779,62,69
9777,61,66
9755,61,63
9762,66,62
9738,77,66
9759,79,70
9784,75,74
9777,68,74
9782,56,69
9773,56,63
9770,61,60
9785,58,57
9780,59,58
9777,57,58
9776,57,57
9758,59,58
9757,69,60
9765,74,64
9787,74,69
9769,69,71
9781,61,69
9780,55,64
9776,58,60
9772,58,58
9795,58,57
9793,51,56
9787,46,53
9791,44,49
9768,47,47
9741,58,48
9761,71,55
9785,71,61
9796,63,65
9774,56,65
9789,49,59
9786,48,54
9797,48,50
9783,48,48
9792,47,47
9792,44,46
9772,48,46
9761,54,48
9787,56,50
9808,56,53
9806,39,51
9776,39,47
9797,34,42
9789,43,38
9796,43,39
9792,42,40
9796,42,42
9803,40,41
9781,42,41
9767,47,42
9791,50,44
9794,50,47
9789,46,48
9807,43,47
9785,44,45
9793,45,44
9813,36,42
9798,40,41
9809,32,38
9789,32,35
9766,42,36
9766,58,41
9779,63,48
9795,63,56
9787,53,59
9768,53,58
9764,58,56
9749,70,58
9735,79,65
9724,94,75
9704,106,87
9690,122,100
9678,139,115
9646,152,129
9634,174,146
9651,187,163
9653,187,175
9651,185,183
9672,184,185
9667,176,183
9678,166,177
9672,164,172
9685,161,166
9694,154,161
9704,146,156
9688,145,151
9682,145,147
9725,140,144
9726,129,139
9731,110,131
9737,107,121
9740,102,112
9721,102,105
9737,99,102
9749,97,100
9754,93,97
9752,85,93
9731,85,90
9720,94,89
9726,107,92
9749,107,98
9730,108,104
9741,100,105
9740,95,102
9742,95,99
9749,94,96
9764,90,93
9766,79,89
9768,71,83
9764,71,77
9736,71,73
9739,84,74
9742,95,80
9756,95,86
9772,87,90
9767,74,87
9751,74,82
9758,73,77
9756,79,75
9751,82,77
9765,79,78
9773,75,78
9764,71,76
9737,71,74
9741,83,75
9780,83,77
9773,79,79
9763,68,78
9759,68,74
9758,75,72
9757,77,72
9765,77,74
9778,74,75
9763,72,75
9774,66,72
9765,66,69
9757,72,69
9739,75,69
9757,79,73
9764,79,76
9768,75,77
9764,72,76
9788,70,74
9773,65,70
9785,57,66
9769,57,62
9780,59,59
9784,54,56
9768,61,57
9757,62,59
9759,72,62
9782,72,66
9794,65,67
9771,59,67
9787,51,61
9790,47,55
9797,47,51
9797,42,46
9792,41,44
9801,39,42
9780,41,40
9768,50,42
9768,62,48
9771,66,54
9814,66,61
9801,50,61
9791,40,55
9797,37,48
9802,37,41
9808,36,37
9796,36,36
9809,31,35
9812,27,32
9804,29,30
9778,29,29
9770,45,32
9793,50,38
9801,50,43
9794,42,46
9797,40,45
9803,37,42
9794,40,39
9807,36,38
9811,31,36
9813,27,33
9790,27,30
9767,35,30
9791,45,33
9802,45,38
9810,39,41
9806,32,40
9806,30,36
9799,30,32
9805,30,30
9794,34,31
9800,36,32
9810,33,33
9822,31,33
9774,31,32
9782,40,33
9780,55,39
9812,55,45
9813,39,47
9812,24,43
9812,24,35
9799,24,27
9825,24,24
9829,17,22
9807,20,21
9818,14,18
9814,20,17
9788,25,19
9775,35,23
9811,36,29
9822,36,33
9809,26,33
9828,19,29
9811,19,25
9819,21,21
9819,17,19
9820,17,18
9824,16,17
9805,16,16
9798,23,18
9784,34,22
9793,40,28
9835,40,34
9805,37,37
9808,29,36
9813,25,32
9822,25,29
9827,18,24
9820,15,20
9822,14,18
9828,11,14
9797,15,13
9778,26,16
9778,48,25
9802,48,34
9770,58,45
9759,62,54
9762,70,59
9726,75,66
9712,93,75
9715,115,88
9703,122,101
9683,128,114
9689,140,126
9668,150,135
9711,150,142
9693,145,146
9685,147,148
9697,141,145
9710,141,143
9701,137,141
9706,132,137
9719,128,134
9747,123,130
9732,110,123
9732,104,116
9731,104,110
9722,104,105
9755,104,104
9757,93,101
9748,84,96
9772,80,90
9754,80,84
9753,82,81
9765,76,79
9754,82,80
9763,77,79
9766,72,76
9765,72,75
9741,72,73
9765,71,71
9770,71,71
9770,68,70
9764,68,69
9782,66,68
9772,65,66
9772,64,65
9781,59,63
9794,59,61
9777,57,59
9774,57,58
9739,60,58
9775,61,58
9788,61,59
9785,56,59
9771,56,58
9783,52,56
9767,59,55
9780,60,56
9788,54,56
9790,52,56
9778,52,54
9768,53,52
9746,63,55
9785,63,57
9774,65,61
9783,57,62
9764,57,60
9784,57,59
9776,56,56
9771,62,58
9804,56,57
9789,53,56
9787,48,54
9776,48,51
9757,54,50
9795,54,51
9783,56,53
9787,51,53
9769,51,53
9783,53,52
9785,52,51
9808,52,52
9815,39,49
9797,33,44
9802,31,38
9769,36,34
9779,48,37
9767,62,44
9786,62,52
9808,53,56
9788,49,56
9802,41,51
9822,31,43
9800,35,39
9808,31,34
9808,28,31
9813,28,30
9773,28,28
9794,35,29
9778,50,35
9807,50,40
9820,35,42
9791,37,43
9810,27,37
9820,21,30
9805,28,28
9811,25,25
9813,24,24
9821,24,25
9831,19,23
9802,19,21
9759,24,21
9802,34,24
9824,34,27
9826,23,28
9819,14,26
9814,14,21
9824,14,16
9807,19,15
9816,21,17
9822,17,17
9821,17,18
9797,17,18
9794,27,19
9802,36,24
9820,36,29
9810,30,32
9807,27,32
9818,22,28
9809,26,26
9809,27,25
9836,22,24
9817,23,24
9826,14,21
9811,14,18
9799,22,18
9804,28,19
9827,28,23
9828,20,24
9823,11,21
9821,11,17
9820,14,14
9800,15,12
9834,15,13
9826,13,14
9827,9,13
9824,9,11
9802,11,10
9804,22,12
9827,22,16
9842,20,18
9825,10,18
9824,10,15
9817,11,12
9810,15,11
9810,22,14
9787,26,18
9763,37,25
9758,61,36
9727,75,49
9716,93,66
9720,112,85
9705,118,99
9686,125,112
9709,129,121
9667,140,128
9676,155,137
9689,153,144
9687,154,150
9697,148,152
9704,143,149
9671,144,147
9672,151,146
9692,154,148
9716,154,150
9726,132,147
9729,115,138
9737,108,127
9741,103,114
9776,97,105
9767,82,97
9754,75,89
9744,75,82
9750,84,79
9717,89,80
9754,89,84
9773,84,86
9760,79,85
9758,77,82
9774,69,77
9766,73,74
