Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9976,-524,-524,0,0
9975,-523,-523,0,0
9974,-522,-522,0,0
9972,-520,-520,0,0
9973,-521,-521,0,0
9950,-498,-498,0,0
9920,-468,-468,0,0
9883,-431,-431,0,0
9873,-421,-421,0,0
9863,-411,-411,0,0
9870,-418,-418,0,0
9837,-385,-385,0,0
9812,-360,-360,0,0
9833,-381,-381,0,0
9805,-353,-353,0,0
9819,-367,-367,0,0
9803,-351,-351,0,0
9789,-337,-337,0,0
9793,-341,-341,0,0
9795,-343,-343,0,0
9802,-350,-350,0,0
9807,-355,-355,0,0
9806,-354,-354,0,0
9849,-397,-397,0,0
9811,-359,-359,0,0
9813,-361,-361,0,0
9824,-372,-372,0,0
9833,-381,-381,0,0
9843,-391,-391,0,0
9838,-386,-386,0,0
9840,-388,-388,0,0
9822,-370,-370,0,0
9811,-359,-359,0,0
9833,-381,-381,0,0
9863,-411,-411,0,0
9845,-393,-393,0,0
9861,-409,-409,0,0
9865,-413,-413,0,0
9854,-402,-402,0,0
9866,-414,-414,0,0
9871,-419,-419,0,0
9860,-408,-408,0,0
9859,-407,-407,0,0
9842,-390,-390,0,0
9846,-394,-394,0,0
9873,-421,-421,0,0
9877,-425,-425,0,0
9856,-404,-404,0,0
9875,-423,-423,0,0
9863,-411,-411,0,0
9857,-405,-405,0,0
9883,-431,-431,0,0
9868,-416,-416,0,0
9899,-447,-447,0,0
9852,-400,-400,0,0
9861,-409,-409,0,0
9836,-384,-384,0,0
9862,-410,-410,0,0
9871,-419,-419,0,0
9890,-438,-438,0,0
9883,-431,-431,0,0
9890,-438,-438,0,0
9885,-433,-433,0,0
9897,-445,-445,0,0
9886,-434,-434,0,0
9891,-439,-439,0,0
9865,-413,-413,0,0
9867,-415,-415,0,0
9869,-417,-417,0,0
9880,-428,-428,0,0
9879,-427,-427,0,0
9875,-423,-423,0,0
9862,-410,-410,0,0
9895,-443,-443,0,0
9884,-432,-432,0,0
9885,-433,-433,0,0
9894,-442,-442,0,0
9886,-434,-434,0,0
9874,-422,-422,0,0
9869,-417,-417,0,0
9879,-427,-427,0,0
9877,-425,-425,0,0
9881,-429,-429,0,0
9892,-440,-440,0,0
9895,-443,-443,0,0
9891,-439,-439,0,0
9906,-454,-454,0,0
9904,-452,-452,0,0
9917,-465,-465,0,0
9896,-444,-444,0,0
9898,-446,-446,0,0
9879,-427,-427,0,0
9879,-427,-427,0,0
9910,-458,-458,0,0
9913,-461,-461,0,0
9905,-453,-453,0,0
9901,-449,-449,0,0
9913,-461,-461,0,0
9922,-470,-470,0,0
9919,-467,-467,0,0
9941,-489,-489,0,0
9920,-468,-468,0,0
9920,-468,-468,0,0
9891,-439,-439,0,0
9899,-447,-447,0,0
9928,-476,-476,0,0
9929,-477,-477,0,0
9911,-459,-459,0,0
9935,-483,-483,0,0
9930,-478,-478,0,0
9933,-481,-481,0,0
9938,-486,-486,0,0
9936,-484,-484,0,0
9946,-494,-494,0,0
9932,-480,-480,0,0
9925,-473,-473,0,0
9914,-462,-462,0,0
9938,-486,-486,0,0
9960,-508,-508,0,0
9944,-492,-492,0,0
9959,-507,-507,0,0
9951,-499,-499,0,0
9937,-485,-485,0,0
9935,-483,-483,0,0
9950,-498,-498,0,0
9962,-510,-510,0,0
9954,-502,-502,0,0
9960,-508,-508,0,0
9928,-476,-476,0,0
9924,-472,-472,0,0
9961,-509,-509,0,0
9943,-491,-491,0,0
9943,-491,-491,0,0
9960,-508,-508,0,0
9950,-498,-498,0,0
9965,-513,-513,0,0
9952,-500,-500,0,0
9976,-524,-524,0,0
9942,-490,-490,0,0
9946,-494,-494,0,0
9926,-474,-474,0,0
9941,-489,-489,0,0
9971,-519,-519,0,0
9951,-499,-499,0,0
9949,-497,-497,0,0
9959,-507,-507,0,0
9958,-506,-506,0,0
9952,-500,-500,0,0
9945,-493,-493,0,0
9957,-505,-505,0,0
9944,-492,-492,0,0
9982,-530,-530,0,1
9917,-465,-465,0,0
9967,-515,-515,0,0
9973,-521,-521,0,0
9956,-504,-504,0,0
9965,-513,-513,0,0
9973,-521,-521,0,0
9967,-515,-515,0,0
9978,-526,-526,0,0
9976,-524,-524,0,0
9973,-521,-521,0,0
9960,-508,-508,0,0
9937,-485,-485,0,0
9927,-475,-475,0,0
9944,-492,-492,0,0
9933,-481,-481,0,0
9892,-440,-440,0,0
9875,-423,-423,0,0
9858,-406,-406,0,0
9848,-396,-396,0,0
9838,-386,-386,0,0
9824,-372,-372,0,0
9811,-359,-359,0,0
9810,-358,-358,0,0
9789,-337,-337,0,0
9774,-322,-322,1,0
9783,-331,-331,0,0
9807,-355,-355,0,0
9781,-329,-329,0,0
9796,-344,-344,0,0
9816,-364,-364,0,0
9790,-338,-338,0,0
9809,-357,-357,0,0
9811,-359,-359,0,0
9800,-348,-348,0,0
9824,-372,-372,0,0
9813,-361,-361,0,0
9784,-332,-332,0,0
9786,-334,-334,0,0
9817,-365,-365,0,0
9838,-386,-386,0,0
9828,-376,-376,0,0
9833,-381,-381,0,0
9836,-384,-384,0,0
9811,-359,-359,0,0
9838,-386,-386,0,0
9849,-397,-397,0,0
9836,-384,-384,0,0
9844,-392,-392,0,0
9814,-362,-362,0,0
9806,-354,-354,0,0
9812,-360,-360,0,0
9839,-387,-387,0,0
9844,-392,-392,0,0
9834,-382,-382,0,0
9845,-393,-393,0,0
9855,-403,-403,0,0
9854,-402,-402,0,0
9866,-414,-414,0,0
9847,-395,-395,0,0
9855,-403,-403,0,0
9827,-375,-375,0,0
9816,-364,-364,0,0
9862,-410,-410,0,0
9868,-416,-416,0,0
9869,-417,-417,0,0
9860,-408,-408,0,0
9890,-438,-438,0,0
9861,-409,-409,0,0
9870,-418,-418,0,0
9885,-433,-433,0,0
9880,-428,-428,0,0
9885,-433,-433,0,0
9857,-405,-405,0,0
9849,-397,-397,0,0
9842,-390,-390,0,0
9876,-424,-424,0,0
9894,-442,-442,0,0
9866,-414,-414,0,0
9869,-417,-417,0,0
9896,-444,-444,0,0
9880,-428,-428,0,0
9879,-427,-427,0,0
9881,-429,-429,0,0
9895,-443,-443,0,0
9868,-416,-416,0,0
9847,-395,-395,0,0
9870,-418,-418,0,0
9898,-446,-446,0,0
9889,-437,-437,0,0
9882,-430,-430,0,0
9878,-426,-426,0,0
9897,-445,-445,0,0
9896,-444,-444,0,0
9910,-458,-458,0,0
9912,-460,-460,0,0
9896,-444,-444,0,0
9919,-467,-467,0,0
9883,-431,-431,0,0
9878,-426,-426,0,0
9879,-427,-427,0,0
9903,-451,-451,0,0
9912,-460,-460,0,0
9918,-466,-466,0,0
9899,-447,-447,0,0
9922,-470,-470,0,0
9928,-476,-476,0,0
9915,-463,-463,0,0
9925,-473,-473,0,0
9941,-489,-489,0,0
9932,-480,-480,0,0
9908,-456,-456,0,0
9914,-462,-462,0,0
9925,-473,-473,0,0
9945,-493,-493,0,0
9954,-502,-502,0,0
9937,-485,-485,0,0
