Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9725,111,111,0,0
9716,115,113,0,0
9704,120,115,1,0
9745,115,115,0,0
9746,111,114,0,0
9734,106,113,0,0
9726,110,112,0,0
9753,106,111,0,0
9748,102,110,0,0
9734,102,109,0,0
9752,102,109,0,0
9748,96,108,0,0
9725,102,107,0,0
9720,102,107,0,0
9712,102,106,0,0
9743,102,106,0,0
9754,102,106,0,0
9736,101,105,0,0
9737,100,105,0,0
9728,101,105,0,0
9752,99,104,0,0
9744,96,103,0,0
9740,94,102,0,0
9748,94,101,0,0
9716,97,100,0,0
9718,97,100,0,0
9716,97,99,0,0
9747,97,99,0,0
9743,97,99,0,0
9754,94,98,0,0
9736,97,98,0,0
9760,97,98,0,0
9762,94,98,0,0
9737,94,97,0,0
9745,93,97,0,0
9752,92,96,0,0
9752,92,96,0,0
9741,92,95,0,0
9723,92,95,0,0
9744,92,94,0,0
9779,92,94,0,0
9757,91,94,0,0
9754,90,94,0,0
9761,90,93,0,0
9759,86,93,0,0
9769,84,92,0,0
9770,83,91,0,0
9770,82,91,0,0
9768,80,90,0,0
9763,78,89,0,0
9739,78,88,0,0
9745,80,87,0,0
9762,80,87,0,0
9751,80,86,0,0
9762,78,85,0,0
9775,76,84,0,0
9761,75,83,0,0
9773,74,83,0,0
9779,74,82,0,0
9777,73,81,0,0
9755,74,80,0,0
9762,74,79,0,0
9738,74,78,0,0
9759,74,77,0,0
9784,73,77,0,0
9777,73,76,0,0
9782,73,76,0,0
9773,73,75,0,0
9770,73,75,0,0
9785,70,74,0,0
9780,64,74,0,0
9777,63,73,0,0
9776,62,72,0,0
9758,62,71,0,0
9757,62,70,0,0
9765,63,70,0,0
9787,61,69,0,0
9769,61,68,0,0
9781,61,68,0,0
9780,61,67,0,0
9776,60,66,0,0
9772,60,66,0,0
9795,59,65,0,0
9793,59,64,0,0
9787,59,63,0,0
9791,57,63,0,0
9768,59,62,0,0
9741,59,61,0,0
9761,59,61,0,0
9785,59,60,0,0
9796,59,60,0,0
9774,60,60,0,0
9789,58,59,0,0
9786,55,59,0,0
9797,53,59,0,0
9783,52,58,0,0
9792,52,58,0,0
9792,50,57,0,0
9772,50,57,0,0
9761,50,56,0,0
9787,49,55,0,0
9808,49,55,0,0
9806,49,54,0,0
9776,49,54,0,0
9797,49,53,0,0
9789,49,53,0,0
9796,48,52,0,0
9792,47,52,0,0
9796,45,51,0,0
9803,44,50,0,0
9781,45,50,0,0
9767,45,49,0,0
9791,44,48,0,0
9794,44,48,0,0
9789,44,47,0,0
9807,44,47,0,0
9785,44,46,0,0
9793,44,46,0,0
9813,43,46,0,0
9798,42,45,0,0
9809,41,45,0,0
9789,42,45,0,0
9766,43,44,0,0
9766,43,44,0,0
9779,44,44,0,0
9795,43,43,0,1
9787,44,43,0,0
9768,46,43,0,0
9764,47,43,0,0
9749,48,44,0,0
9735,48,44,0,0
9724,48,44,0,0
9704,50,44,0,0
9690,54,45,0,0
9678,62,46,0,0
9646,69,47,0,0
9634,70,48,0,0
9651,71,49,0,0
9653,79,51,0,0
9651,94,54,0,0
9672,106,57,0,0
9667,122,61,0,0
9678,139,66,0,0
9672,152,71,0,0
9685,154,77,0,0
9694,154,82,0,0
9704,154,88,0,0
9688,154,93,0,0
9682,156,99,0,0
9725,156,104,0,0
9726,156,110,0,0
9731,156,115,0,0
9737,156,120,0,0
9740,156,125,0,0
9721,152,130,0,0
9737,149,134,0,0
9749,145,138,0,0
9754,137,141,0,0
9752,123,143,0,0
9731,113,144,1,0
9720,113,144,0,0
9726,110,144,0,0
9749,110,142,0,0
9730,108,140,0,0
9741,105,138,0,0
9740,105,135,0,0
9742,102,133,0,0
9749,99,130,0,0
9764,97,127,0,0
9766,96,124,0,0
9768,95,121,0,0
9764,94,118,0,0
9736,94,115,0,0
9739,94,112,0,0
9742,94,109,0,0
9756,90,106,0,0
9772,90,103,0,0
9767,90,101,0,0
9751,90,99,0,0
9758,87,98,0,0
9756,86,96,0,0
9751,85,95,0,0
9765,82,94,0,0
9773,80,92,0,0
9764,79,91,0,0
9737,79,90,0,0
9741,79,89,0,0
9780,75,87,0,0
9773,75,86,0,0
9763,75,85,0,0
9759,77,84,0,0
9758,78,83,0,0
9757,78,83,0,0
9765,77,82,0,0
9778,75,81,0,0
9763,73,80,0,0
9774,73,79,0,0
9765,73,78,0,0
9757,73,77,0,0
9739,73,77,0,0
9757,73,76,0,0
9764,72,75,0,0
9768,72,75,0,0
9764,72,75,0,0
9788,72,74,0,0
9773,72,74,0,0
9785,71,73,0,0
9769,71,73,0,0
9780,71,73,0,0
9784,71,73,0,0
9768,69,72,0,0
9757,69,72,0,0
9759,69,72,0,0
9782,68,71,0,0
9794,68,71,0,0
9771,67,70,0,0
9787,67,70,0,0
9790,66,70,0,0
9797,64,69,0,0
9797,59,69,0,0
9792,55,68,0,0
9801,53,67,0,0
9780,53,66,0,0
9768,53,65,0,0
9768,55,64,0,0
9771,55,63,0,0
9814,55,62,0,0
9801,53,62,0,0
9791,50,60,0,0
9797,47,59,0,0
9802,45,58,0,0
9808,44,57,0,0
9796,43,56,0,0
9809,41,54,0,0
9812,39,53,0,0
9804,39,51,0,0
9778,39,50,0,0
9770,39,49,0,0
9793,39,47,0,0
9801,39,46,0,0
9794,39,46,0,0
9797,39,45,0,0
9803,39,44,0,0
9794,39,43,0,0
9807,37,43,0,0
9811,35,42,0,0
9813,35,41,0,0
9790,37,40,0,0
9767,37,39,0,0
9791,37,39,0,0
9802,37,38,0,0
9810,37,38,0,0
9806,34,37,0,0
9806,34,37,0,0
9799,36,37,0,0
9805,36,37,0,0
9794,36,37,0,0
9800,35,36,0,0
9810,34,36,0,0
9822,33,36,0,0
9774,33,36,0,0
9782,33,35,0,0
9780,35,35,0,0
9812,32,35,0,0
9813,32,34,0,0
9812,32,34,0,0
9812,32,34,0,0
9799,32,34,0,0
9825,30,34,0,0
9829,30,33,0,0
9807,29,33,0,0
9818,29,32,0,0
9814,27,32,0,0
9788,27,32,0,0
9775,27,31,0,0
9811,25,31,0,0
9822,24,30,0,0
9809,24,30,0,0
9828,24,29,0,0
9811,24,29,0,0
9819,24,28,0,0
9819,24,28,0,0
9820,23,27,0,0
9824,22,27,0,0
9805,23,26,0,0
9798,23,26,0,0
9784,23,25,0,0
9793,23,25,0,0
9835,23,24,0,0
9805,25,24,0,0
9808,25,24,0,0
9813,25,24,0,0
9822,25,24,0,0
9827,24,24,0,0
9820,20,23,0,0
9822,17,23,0,0
9828,17,22,0,1
9797,17,22,0,0
9778,20,22,0,0
9778,20,22,0,0
9802,25,22,0,0
9770,29,22,0,0
9759,31,22,0,0
9762,32,23,0,0
9726,36,24,0,0
9712,36,24,0,0
9715,36,25,0,0
9703,36,25,0,0
9683,48,27,0,0
9689,58,28,0,0
9668,62,30,0,0
9711,70,32,0,0
9693,75,35,0,0
9685,93,38,0,0
9697,115,43,0,0
9710,122,48,0,0
9701,124,54,0,0
9706,125,59,0,0
9719,125,64,0,0
9747,125,70,0,0
9732,125,75,0,0
9732,125,79,0,0
9731,125,84,0,0
9722,125,89,0,0
9755,125,93,0,0
9757,125,98,0,0
9748,125,102,0,0
9772,121,106,0,0
9754,115,110,0,0
9753,109,112,0,0
9765,104,114,0,0
9754,104,116,0,0
9763,96,117,1,0
9766,88,117,0,0
9765,85,115,0,0
9741,85,114,0,0
9765,82,111,0,0
9770,82,109,0,0
9770,81,107,0,0
9764,80,105,0,0
9782,76,102,0,0
9772,72,100,0,0
9772,71,97,0,0
9781,71,94,0,0
9794,71,92,0,0
9777,70,89,0,0
9774,68,86,0,0
9739,70,84,0,0
9775,68,81,0,0
9788,66,79,0,0
9785,65,77,0,0
9771,64,75,0,0
9783,64,73,0,0
9767,64,72,0,0
