Channel 1,Channel 2,Channel 3,Channel 4
9725,111,111,0
9716,115,113,0
9704,120,115,0
9745,115,115,0
9746,111,114,0
9734,106,113,0
9726,110,112,0
9753,106,111,0
9748,102,110,0
9734,102,109,0
9752,102,109,0
9748,96,108,0
9725,102,107,0
9720,102,107,0
9712,102,106,0
9743,102,106,0
9754,102,106,0
9736,101,105,0
9737,100,105,0
9728,101,105,0
9752,100,105,0
9744,99,104,0
9740,99,104,0
9748,97,104,0
9716,99,104,0
9718,99,103,0
9716,99,102,0
9747,96,102,0
9743,96,101,0
9754,96,100,0
9736,96,100,0
9760,93,99,0
9762,93,99,0
9737,96,98,0
9745,93,98,0
9752,93,98,0
9752,93,97,0
9741,93,97,0
9723,93,97,0
9744,93,96,0
9779,92,96,0
9757,92,96,0
9754,92,95,0
9761,91,95,0
9759,89,94,0
9769,89,94,0
9770,88,94,0
9770,84,93,0
9768,84,92,0
9763,82,92,0
9739,82,91,0
9745,82,90,0
9762,82,90,0
9751,82,89,0
9762,79,89,0
9775,77,88,0
9761,77,87,0
9773,77,87,0
9779,75,86,0
9777,75,85,0
9755,75,84,0
9762,74,83,0
9738,74,83,0
9759,74,82,0
9784,74,81,0
9777,74,80,0
9782,74,80,0
9773,73,79,0
9770,68,78,0
9785,67,77,0
9780,66,76,0
9777,66,75,0
9776,66,75,0
9758,66,74,0
9757,66,73,0
9765,66,73,0
9787,63,72,0
9769,63,71,0
9781,63,70,0
9780,61,70,0
9776,60,69,0
9772,60,68,0
9795,60,68,0
9793,60,67,0
9787,60,66,0
9791,59,66,0
9768,59,65,0
9741,59,65,0
9761,59,64,0
9785,59,63,0
9796,59,63,0
9774,60,62,0
9789,59,62,0
9786,56,61,0
9797,56,61,0
9783,56,60,0
9792,55,60,0
9792,53,59,0
9772,53,59,0
9761,53,58,0
9787,51,58,0
9808,51,57,0
9806,50,57,0
9776,50,56,0
9797,49,56,0
9789,49,55,0
9796,47,55,0
9792,47,54,0
9796,47,54,0
9803,47,53,0
9781,47,53,0
9767,47,52,0
9791,47,52,0
9794,45,51,0
9789,45,51,0
9807,45,50,0
9785,45,50,0
9793,44,49,0
9813,44,48,0
9798,44,48,0
9809,44,47,0
9789,44,47,0
9766,44,47,0
9766,44,46,0
9779,44,46,0
9795,43,46,0
9787,44,45,0
9768,45,45,0
9764,45,45,0
9749,47,45,0
9735,47,45,0
9724,47,45,0
9704,49,45,0
9690,51,45,0
9678,55,45,0
9646,57,46,0
9634,57,46,0
9651,68,47,0
9653,70,48,0
9651,70,49,0
9672,72,50,0
9667,87,52,0
9678,101,54,0
9672,112,57,0
9685,132,60,0
9694,142,64,0
9704,142,68,0
9688,146,72,0
9682,148,76,0
9725,148,81,0
9726,148,85,0
9731,148,89,0
9737,148,93,0
9740,148,97,0
9721,148,101,0
9737,148,105,0
9749,148,109,0
9754,148,113,0
9752,148,117,0
9731,142,121,0
9720,132,124,0
9726,116,126,0
9749,115,128,0
9730,111,129,0
9741,110,131,0
9740,110,133,0
9742,106,133,0
9749,105,133,0
9764,105,133,0
9766,99,132,0
9768,99,130,0
9764,96,128,0
9736,96,126,0
9739,96,124,0
9742,96,122,0
9756,95,120,0
9772,94,118,0
9767,94,116,0
9751,87,113,0
9758,87,111,0
9756,87,108,0
9751,85,106,0
9765,85,103,0
9773,85,101,0
9764,85,99,0
9737,85,97,0
9741,85,95,0
9780,80,94,0
9773,80,93,0
9763,78,92,0
9759,77,90,0
9758,77,89,0
9757,77,88,0
9765,77,87,0
9778,77,86,0
9763,77,85,0
9774,77,84,0
9765,73,83,0
9757,73,82,0
9739,73,82,0
9757,73,81,0
9764,73,80,0
9768,73,79,0
9764,73,78,0
9788,72,78,0
9773,72,77,0
9785,72,77,0
9769,72,76,0
9780,72,76,0
9784,71,75,0
9768,71,75,0
9757,71,74,0
9759,71,74,0
9782,71,73,0
9794,71,73,0
9771,68,73,0
9787,68,72,0
9790,67,72,0
9797,65,71,0
9797,65,71,0
9792,63,70,0
9801,63,70,0
9780,56,69,0
9768,56,68,0
9768,56,68,0
9771,56,67,0
9814,56,66,0
9801,54,66,0
9791,52,65,0
9797,52,64,0
9802,51,63,0
9808,49,62,0
9796,46,61,0
9809,45,60,0
9812,44,59,0
9804,42,58,0
9778,42,57,0
9770,42,56,0
9793,42,54,0
9801,40,53,0
9794,40,52,0
9797,39,51,0
9803,39,50,0
9794,39,49,0
9807,39,48,0
9811,39,47,0
9813,39,46,0
9790,39,45,0
9767,39,44,0
9791,39,44,0
9802,35,43,0
9810,35,42,0
9806,35,41,0
9806,34,41,0
9799,34,40,0
9805,34,39,0
9794,35,39,0
9800,35,38,0
9810,35,38,0
9822,35,37,0
9774,36,37,0
9782,36,37,0
9780,36,37,0
9812,35,36,0
9813,34,36,0
9812,33,36,0
9812,31,36,0
9799,31,35,0
9825,30,35,0
9829,30,34,0
9807,30,34,0
9818,30,34,0
9814,30,33,0
9788,30,33,0
9775,30,33,0
9811,29,32,0
9822,29,32,0
9809,27,32,0
9828,26,32,0
9811,25,31,0
9819,25,31,0
9819,24,30,0
9820,24,30,0
9824,24,30,0
9805,24,29,0
9798,24,29,0
9784,24,28,0
9793,24,28,0
9835,24,27,0
9805,24,27,0
9808,25,26,0
9813,25,26,0
9822,23,26,0
9827,23,26,0
9820,23,25,0
9822,22,25,0
9828,22,25,0
9797,23,24,0
9778,23,24,0
9778,23,24,0
9802,23,24,0
9770,25,23,0
9759,25,23,0
9762,28,23,0
9726,31,24,0
9712,31,24,0
9715,34,24,0
9703,38,25,0
9683,39,26,0
9689,43,26,0
9668,52,27,0
9711,58,29,0
9693,58,30,0
9685,66,32,0
9697,74,34,0
9710,77,36,0
9701,110,39,0
9706,121,43,0
9719,121,47,0
9747,121,51,0
9732,121,55,0
9732,121,59,0
9731,121,63,0
9722,121,67,0
9755,121,71,0
9757,121,75,0
9748,121,78,0
9772,121,82,0
9754,121,86,0
9753,121,90,0
9765,117,93,0
9754,114,96,0
9763,105,99,0
9766,104,102,0
9765,104,104,0
9741,95,106,0
9765,89,107,0
9770,88,108,0
9770,83,109,0
9764,82,109,0
9782,82,109,0
9772,81,108,0
9772,79,107,0
9781,73,105,0
9794,72,103,0
9777,71,101,0
9774,71,99,0
9739,71,97,0
9775,71,95,0
9788,70,93,0
9785,66,90,0
9771,66,88,0
9783,66,86,0
9767,66,84,0
9780,65,82,0
9788,64,79,0
9790,64,77,0
9778,62,76,0
9768,62,74,0
9746,62,72,0
9785,61,71,0
9774,61,70,0
9783,59,69,0
9764,59,68,0
9784,58,67,0
9776,59,66,0
9771,59,65,0
9804,58,64,0
9789,58,64,0
9787,58,63,0
9776,58,62,0
9757,58,62,0
9795,56,61,0
9783,53,61,0
9787,53,60,0
9769,56,60,0
9783,53,59,0
9785,53,59,0
9808,53,58,0
9815,53,58,0
9797,53,57,0
9802,53,57,0
9769,53,56,0
9779,53,56,0
9767,53,56,0
9786,53,55,0
9808,52,55,0
9788,51,55,0
9802,50,54,0
9822,49,54,0
9800,49,53,0
9808,48,53,0
9808,48,53,0
9813,48,52,0
9773,48,52,0
9794,42,51,0
9778,42,51,0
9807,42,50,0
9820,39,49,0
9791,39,49,0
9810,36,48,0
9820,34,47,0
9805,34,47,0
9811,34,46,0
9813,34,45,0
9821,31,44,0
9831,29,43,0
9802,29,42,0
9759,29,41,0
9802,29,40,0
9824,28,39,0
9826,28,38,0
9819,28,37,0
9814,26,36,0
9824,26,36,0
9807,26,35,0
9816,25,34,0
9822,23,33,0
9821,23,32,0
9797,23,31,0
9794,23,30,0
9802,23,29,0
9820,22,28,0
9810,23,28,0
9807,23,27,0
9818,22,27,0
9809,23,26,0
9809,23,26,0
9836,22,25,0
9817,20,25,0
9826,20,24,0
9811,22,24,0
9799,22,24,0
9804,22,23,0
9827,20,23,0
9828,20,23,0
9823,20,22,0
9821,20,22,0
9820,19,22,0
9800,20,21,0
9834,19,21,0
9826,18,21,0
9827,18,21,0
9824,18,21,0
9802,18,20,0
9804,18,20,0
9827,16,20,0
9842,16,20,0
9825,15,19,0
9824,13,19,0
9817,13,19,0
9810,13,18,0
9810,13,18,0
9787,15,17,0
9763,15,17,0
9758,16,17,0
9727,16,17,0
9716,16,17,0
9720,16,16,0
9705,19,16,0
9686,26,17,0
9709,26,17,0
9667,32,17,0
9676,34,18,0
9689,34,18,0
9687,49,20,0
9697,73,22,0
9704,78,24,0
9671,109,28,0
9672,116,32,0
9692,120,36,0
9716,120,40,0
9726,120,44,0
9729,120,48,0
9737,120,53,0
9741,120,57,0
9776,120,61,0
9767,120,66,0
9754,120,70,0
9744,120,74,0
9750,120,78,0
9717,120,82,0
9754,120,86,0
9773,120,91,0
9760,119,95,0
9758,110,98,0
9774,107,101,0
9766,99,104,0
9781,95,106,0
9788,92,109,0
9781,86,110,0
9788,82,110,0
9761,82,111,1
9758,78,109,0
9755,78,108,0
9793,78,106,0
9781,76,104,0
9784,75,103,0
9788,70,101,0
9769,69,99,0
9792,67,96,0
9789,67,94,0
9795,63,92,0
9787,62,90,0
9774,62,87,0
9765,62,85,0
9778,58,83,0
9806,55,80,0
9801,55,77,0
9782,55,75,0
9796,54,73,0
9783,53,70,0
9778,53,69,0
9805,52,67,0
9801,52,65,0
9800,49,64,0
9787,49,62,0
9762,49,61,0
9772,49,60,0
9806,49,59,0
9791,49,58,0
9777,49,57,0
9806,48,56,0
9789,47,55,0
9801,47,54,0
9801,47,53,0
9805,45,52,0
9803,45,51,0
9770,45,51,0
9784,45,50,0
9783,45,49,0
9795,41,49,0
9821,41,48,0
9791,45,48,0
9816,41,47,0
9812,41,47,0
9809,36,46,0
9820,35,45,0
9808,35,44,0
9819,35,44,0
9815,35,43,0
9804,33,43,0
9783,33,42,0
9815,32,41,0
9811,32,41,0
9810,31,40,0
9814,30,39,0
9813,28,38,0
9823,27,38,0
9812,26,37,0
9825,25,36,0
9830,24,35,0
9822,24,34,0
9845,23,33,0
9807,23,32,0
9811,23,31,0
9812,23,31,0
9829,23,30,0
9847,22,29,0
9810,23,28,0
9816,22,28,0
9820,21,27,0
9813,22,27,0
9827,21,26,0
9816,21,25,0
9836,21,25,0
9827,20,24,0
9839,20,24,0
9815,20,23,0
9828,16,23,0
9835,14,22,0
9826,13,21,0
9840,11,21,0
9820,11,20,0
9822,11,19,0
9840,10,19,0
9839,10,18,0
9854,9,18,0
9843,9,17,0
9834,9,17,0
9796,9,16,0
9797,9,15,0
9836,9,15,0
9846,9,14,0
9834,8,14,0
9845,2,13,0
9829,2,12,0
9826,2,11,0
9848,2,11,0
9849,1,10,0
9841,1,9,0
9836,0,8,0
9813,1,7,0
9816,1,7,0
9839,0,6,0
9850,0,5,0
9838,-2,5,0
9832,0,4,0
9838,-2,4,0
9846,-2,3,0
9840,-2,3,0
9845,-2,2,0
9835,-2,2,0
9851,-2,2,0
9819,-2,1,0
9812,-2,1,0
9830,-2,0,0
9841,-2,0,0
9836,-2,0,0
9829,-2,0,0
9841,-2,0,0
9844,-2,0,0
9826,-2,-1,0
9852,-2,-1,0
9851,-2,-1,0
9851,-2,-1,0
9847,-3,-1,0
9820,-3,-1,0
9824,-3,-1,0
9845,-4,-2,0
9859,-4,-2,0
9833,-4,-2,0
9839,-4,-2,0
9848,-5,-2,0
9844,-5,-2,0
9843,-5,-2,0
9835,-5,-2,0
9819,-5,-3,0
9773,-3,-3,0
9748,-3,-3,0
9768,-3,-3,0
9771,-3,-3,0
9756,0,-3,0
9733,1,-3,0
9742,1,-2,0
9713,3,-2,0
9697,10,-2,0
9719,12,-1,0
9722,16,0,0
9722,17,0,0
9717,63,2,0
9718,65,5,0
9687,68,8,0
9741,80,11,0
9749,87,14,0
9735,88,18,0
9755,88,22,0
9770,88,26,0
9767,88,29,0
9791,88,33,0
9781,88,37,0
9787,88,40,0
9768,88,44,0
9770,88,48,0
9767,87,51,0
9797,87,55,0
9799,87,59,0
9789,87,62,0
9814,81,65,0
9791,69,68,0
9801,69,71,0
9797,68,73,0
9816,66,75,0
9807,66,77,0
9799,55,79,1
9778,55,78,0
9770,55,78,0
9795,49,77,0
9812,47,76,0
9810,45,74,0
9794,45,72,0
9826,42,71,0
9814,41,69,0
9836,39,67,0
9826,39,65,0
9816,37,63,0
9773,37,61,0
9791,37,59,0
9787,37,57,0
9824,37,55,0
9818,35,53,0
9814,29,50,0
9817,26,48,0
9806,29,46,0
9811,26,44,0
9817,25,42,0
9829,24,40,0
9818,24,39,0
9802,24,37,0
9799,24,36,0
9797,24,35,0
9835,22,33,0
9819,22,32,0
9812,22,31,0
9816,20,30,0
9841,20,29,0
9825,20,28,0
9832,19,27,0
9827,19,27,0
9828,19,26,0
9790,19,25,0
9786,19,24,0
9803,19,24,0
9831,19,23,0
9824,19,22,0
9818,19,22,0
9833,18,21,0
9812,18,21,0
9831,18,20,0
9833,17,20,0
9830,12,20,0
9818,17,19,0
9817,17,19,0
9800,17,19,0
9802,17,18,0
9812,17,18,0
9844,17,18,0
9830,12,18,0
9835,11,17,0
9829,9,17,0
9836,9,16,0
9830,8,16,0
9850,8,15,0
9845,7,15,0
9854,6,14,0
9841,6,14,0
9831,6,13,0
9807,6,13,0
9831,6,12,0
9852,5,12,0
9842,5,11,0
9844,5,11,0
9853,5,10,0
9848,3,9,0
9850,1,9,0
9862,0,8,0
9855,-5,7,0
9837,-5,7,0
9838,-5,6,0
9812,-5,5,0
9853,-6,4,0
9866,-6,3,0
9849,-8,2,0
9839,-8,1,0
9848,-9,1,0
9859,-12,0,0
9852,-12,0,0
9858,-12,-1,0
9875,-13,-2,0
9861,-13,-2,0
9867,-14,-3,0
9840,-14,-4,0
9824,-14,-5,0
9847,-14,-6,0
9857,-14,-6,0
9862,-16,-7,0
9872,-17,-8,0
9844,-16,-9,0
9864,-17,-10,0
9864,-19,-10,0
9862,-19,-11,0
9868,-21,-12,0
9864,-22,-13,0
9829,-22,-13,0
9843,-22,-14,0
9859,-23,-15,0
9876,-23,-15,0
9860,-23,-16,0
9848,-23,-16,0
9876,-24,-17,0
9865,-25,-18,0
9862,-26,-18,0
9851,-26,-19,0
9889,-26,-19,0
9872,-26,-20,0
9873,-26,-20,0
9830,-26,-21,0
9833,-26,-21,0
9867,-26,-22,0
9866,-28,-22,0
9861,-28,-23,0
9873,-28,-23,0
9861,-28,-24,0
9856,-26,-24,0
9867,-26,-24,0
9874,-28,-25,0
9868,-28,-25,0
9861,-26,-25,0
9839,-26,-25,0
9832,-26,-25,0
9860,-26,-26,0
9881,-26,-26,0
9878,-29,-26,0
9872,-30,-26,0
9884,-30,-26,0
9869,-31,-27,0
9870,-31,-27,0
9882,-32,-27,0
9882,-32,-27,0
9868,-32,-28,0
9860,-31,-28,0
9864,-31,-28,0
9874,-32,-28,0
9882,-32,-28,0
9879,-33,-29,0
9879,-34,-29,0
9877,-34,-29,0
9870,-34,-29,0
9878,-36,-30,0
9883,-38,-30,0
9887,-38,-31,0
9872,-38,-31,0
9840,-38,-32,0
9847,-38,-32,0
9839,-38,-32,0
9835,-38,-33,0
9817,-36,-33,0
9791,-36,-34,0
9783,-34,-34,0
9789,-34,-34,0
9762,-34,-34,0
9751,-32,-34,0
9741,-28,-34,0
9747,-24,-34,0
9723,-11,-33,0
9704,-4,-32,0
9724,-3,-31,0
9745,1,-29,0
9745,19,-27,0
9746,45,-24,0
9760,47,-21,0
9763,53,-17,0
9787,53,-14,0
9779,57,-10,0
9789,57,-6,0
9800,57,-3,0
9775,61,0,0
9767,69,5,0
9783,69,9,0
9809,69,13,0
9817,69,18,0
9807,69,22,0
9822,69,26,0
9813,69,30,0
9813,69,34,0
9833,61,38,0
9832,57,42,0
9832,53,45,0
9799,49,48,0
9813,47,50,0
9795,41,52,0
9801,37,53,0
9835,36,55,0
9842,35,55,0
9837,29,55,0
9817,27,54,0
9830,23,53,0
9824,23,52,0
9850,23,50,0
9846,19,49,0
9849,19,47,0
9835,14,45,0
9820,14,43,0
9814,14,41,0
9845,12,39,0
9857,6,36,0
9823,6,34,0
9851,4,31,0
9838,4,28,0
9838,3,26,0
9849,1,23,0
9838,1,21,0
9841,-1,19,0
9824,-1,17,0
9809,-1,15,0
9809,-1,13,0
9841,-2,12,0
9836,-2,10,0
9829,-1,9,0
9832,0,8,0
9838,-2,7,0
9845,-2,6,0
9845,-2,5,0
9841,-2,4,0
9830,-2,3,0
9804,-2,2,0
9800,-2,1,0
9818,-2,1,0
9838,-2,0,0
9847,-2,0,0
9831,-2,0,0
9842,-2,0,0
9835,-2,-1,0
9843,-2,-1,0
9859,-2,-1,0
9855,-2,-1,0
9857,-2,-1,0
9851,-2,-1,0
9836,-2,-1,0
9842,-2,-1,0
9836,-2,-1,0
9872,-2,-1,0
9872,-5,-2,0
9849,-6,-2,0
9858,-6,-2,0
9858,-7,-2,0
9879,-7,-2,0
9869,-7,-3,0
9867,-11,-3,0
9877,-13,-3,0
9841,-13,-4,0
9830,-13,-4,0
9838,-13,-5,0
9873,-15,-5,0
9866,-19,-6,0
9867,-21,-7,0
9872,-22,-7,0
9868,-22,-8,0
9877,-23,-9,0
9866,-30,-10,0
9878,-30,-11,0
9879,-31,-12,0
9857,-31,-14,0
9858,-31,-15,0
9830,-31,-16,0
9872,-31,-17,0
9868,-31,-18,0
9873,-31,-19,0
9879,-32,-20,0
9876,-32,-21,0
9880,-33,-22,0
9883,-33,-23,0
9874,-36,-25,0
9881,-36,-26,0
9863,-36,-27,0
9868,-36,-27,0
9858,-36,-28,0
9863,-36,-29,0
9887,-36,-30,0
9868,-36,-31,0
9868,-36,-31,0
9889,-36,-32,0
9881,-37,-33,0
9896,-37,-33,0
9878,-38,-33,0
9886,-38,-34,0
9883,-38,-34,0
9889,-40,-34,0
9877,-41,-35,0
9878,-42,-35,0
9881,-42,-36,0
9929,-43,-36,0
9891,-44,-37,0
9878,-44,-37,0
9892,-45,-38,0
9880,-45,-38,0
9882,-45,-39,0
9887,-45,-39,0
9868,-45,-39,0
9861,-45,-40,0
9868,-45,-40,0
9888,-45,-40,0
9890,-46,-41,0
9872,-45,-41,0
9897,-46,-42,0
9888,-47,-42,0
9881,-46,-42,0
9892,-47,-43,0
9892,-47,-43,0
9889,-50,-44,0
9886,-50,-44,0
9866,-50,-45,0
9862,-46,-45,0
9845,-46,-45,0
9869,-46,-45,0
9865,-46,-45,0
9834,-45,-46,0
9825,-44,-46,0
9820,-44,-46,0
9793,-36,-45,0
9796,-33,-45,0
9799,-32,-44,0
9775,-32,-44,0
9773,-30,-43,0
9732,-30,-42,0
9748,-29,-42,0
9760,-26,-41,0
9777,-9,-40,0
9769,2,-38,0
9767,11,-35,0
9797,16,-33,0
9775,37,-30,0
9797,39,-26,0
9805,39,-23,0
9815,39,-19,0
9801,39,-16,0
9793,39,-12,0
9786,40,-9,0
9806,40,-5,0
9822,40,-2,0
9831,40,1,0
9828,40,4,0
9826,40,8,0
9846,40,11,0
9835,39,14,0
9844,39,17,0
9847,39,20,0
9842,35,22,0
9832,31,25,0
9820,30,27,0
9821,21,29,0
9844,16,31,0
9859,15,32,0
9856,14,32,0
9853,10,32,0
9859,8,32,0
9856,5,31,0
9873,4,29,0
9877,1,28,0
9873,-6,26,0
9843,-7,24,0
9828,-7,22,0
9836,-7,20,0
9857,-8,18,0
9874,-8,16,0
9853,-10,14,0
9861,-11,12,0
9872,-17,10,0
9867,-17,8,0
9872,-20,6,0
9861,-20,3,0
9868,-21,1,0
9841,-21,-1,0
9832,-21,-3,0
9842,-21,-5,0
