Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9725,111,111,0,0
9716,115,113,0,0
9704,120,115,0,0
9745,115,115,0,0
9746,105,113,0,0
9734,96,109,0,0
9726,96,103,0,0
9753,96,98,0,0
9748,95,95,0,0
9734,95,95,0,0
9752,86,93,0,0
9748,88,91,0,0
9725,95,91,0,0
9720,99,92,0,0
9712,113,98,0,0
9743,113,105,0,0
9754,104,107,0,0
9736,96,106,0,0
9737,96,102,0,0
9728,99,98,0,0
9752,99,97,0,0
9744,95,97,0,0
9740,94,96,0,0
9748,90,94,0,0
9716,94,93,0,0
9718,107,96,0,0
9716,119,102,0,0
9747,119,109,0,0
9743,105,112,0,0
9754,91,108,0,0
9736,91,101,0,0
9760,87,93,0,0
9762,79,87,0,0
9737,87,86,0,0
9745,83,84,0,0
9752,87,84,0,0
9752,87,86,0,0
9741,87,86,0,0
9723,89,87,0,0
9744,93,89,0,0
9779,93,90,0,0
9757,85,90,0,0
9754,80,87,0,0
9761,77,83,0,0
9759,78,80,0,0
9769,76,77,0,0
9770,71,75,0,0
9770,66,72,0,0
9768,66,69,0,0
9763,67,67,0,0
9739,70,67,0,0
9745,82,71,0,0
9762,82,75,0,0
9751,88,80,0,0
9762,79,82,0,0
9775,74,80,0,0
9761,74,78,0,0
9773,68,73,0,0
9779,62,69,0,0
9777,61,66,0,0
9755,61,63,0,0
9762,66,62,0,0
9738,77,66,0,0
9759,79,70,0,0
9784,75,74,0,0
9777,68,74,0,0
9782,56,69,0,0
9773,56,63,0,0
9770,61,60,0,0
9785,58,57,0,0
9780,59,58,0,0
9777,57,58,0,0
9776,57,57,0,0
9758,59,58,0,0
9757,69,60,0,0
9765,74,64,0,0
9787,74,69,0,0
9769,69,71,0,0
9781,61,69,0,0
9780,55,64,0,0
9776,58,60,0,0
9772,58,58,0,0
9795,58,57,0,0
9793,51,56,0,0
9787,46,53,0,0
9791,44,49,0,0
9768,47,47,0,0
9741,58,48,0,0
9761,71,55,0,0
9785,71,61,0,0
9796,63,65,0,0
9774,56,65,0,0
9789,49,59,0,0
9786,48,54,0,0
9797,48,50,0,0
9783,48,48,0,0
9792,47,47,0,0
9792,44,46,0,0
9772,48,46,0,0
9761,54,48,0,0
9787,56,50,0,0
9808,56,53,0,0
9806,39,51,0,0
9776,39,47,0,0
9797,34,42,0,0
9789,43,38,0,0
9796,43,39,0,0
9792,42,40,0,0
9796,42,42,0,0
9803,40,41,0,0
9781,42,41,0,0
9767,47,42,0,0
9791,50,44,0,0
9794,50,47,0,0
9789,46,48,0,0
9807,43,47,0,0
9785,44,45,0,0
9793,45,44,0,0
9813,36,42,0,0
9798,40,41,0,0
9809,32,38,0,0
9789,32,35,0,1
9766,42,36,0,0
9766,58,41,0,0
9779,63,48,0,0
9795,63,56,0,0
9787,53,59,0,0
9768,53,58,0,0
9764,58,56,0,0
9749,70,58,0,0
9735,79,65,0,0
9724,94,75,0,0
9704,106,87,0,0
9690,122,100,0,0
9678,139,115,0,0
9646,152,129,0,0
9634,174,146,0,0
9651,187,163,0,0
9653,187,175,0,0
9651,185,183,0,0
9672,184,185,1,0
9667,176,183,0,0
9678,166,177,0,0
9672,164,172,0,0
9685,161,166,0,0
9694,154,161,0,0
9704,146,156,0,0
9688,145,151,0,0
9682,145,147,0,0
9725,140,144,0,0
9726,129,139,0,0
9731,110,131,0,0
9737,107,121,0,0
9740,102,112,0,0
9721,102,105,0,0
9737,99,102,0,0
9749,97,100,0,0
9754,93,97,0,0
9752,85,93,0,0
9731,85,90,0,0
9720,94,89,0,0
9726,107,92,0,0
9749,107,98,0,0
9730,108,104,0,0
9741,100,105,0,0
9740,95,102,0,0
9742,95,99,0,0
9749,94,96,0,0
9764,90,93,0,0
9766,79,89,0,0
9768,71,83,0,0
9764,71,77,0,0
9736,71,73,0,0
9739,84,74,0,0
9742,95,80,0,0
9756,95,86,0,0
9772,87,90,0,0
9767,74,87,0,0
9751,74,82,0,0
9758,73,77,0,0
9756,79,75,0,0
9751,82,77,0,0
9765,79,78,0,0
9773,75,78,0,0
9764,71,76,0,0
9737,71,74,0,0
9741,83,75,0,0
9780,83,77,0,0
9773,79,79,0,0
9763,68,78,0,0
9759,68,74,0,0
9758,75,72,0,0
9757,77,72,0,0
9765,77,74,0,0
9778,74,75,0,0
9763,72,75,0,0
9774,66,72,0,0
9765,66,69,0,0
9757,72,69,0,0
9739,75,69,0,0
9757,79,73,0,0
9764,79,76,0,0
9768,75,77,0,0
9764,72,76,0,0
9788,70,74,0,0
9773,65,70,0,0
9785,57,66,0,0
9769,57,62,0,0
9780,59,59,0,0
9784,54,56,0,0
9768,61,57,0,0
9757,62,59,0,0
9759,72,62,0,0
9782,72,66,0,0
9794,65,67,0,0
9771,59,67,0,0
9787,51,61,0,0
9790,47,55,0,0
9797,47,51,0,0
9797,42,46,0,0
9792,41,44,0,0
9801,39,42,0,0
9780,41,40,0,0
9768,50,42,0,0
9768,62,48,0,0
9771,66,54,0,0
9814,66,61,0,0
9801,50,61,0,0
9791,40,55,0,0
9797,37,48,0,0
9802,37,41,0,0
9808,36,37,0,0
9796,36,36,0,0
9809,31,35,0,0
9812,27,32,0,0
9804,29,30,0,0
9778,29,29,0,0
9770,45,32,0,0
9793,50,38,0,0
9801,50,43,0,0
9794,42,46,0,0
9797,40,45,0,0
9803,37,42,0,0
9794,40,39,0,0
9807,36,38,0,0
9811,31,36,0,0
9813,27,33,0,0
9790,27,30,0,0
9767,35,30,0,0
9791,45,33,0,0
9802,45,38,0,0
9810,39,41,0,0
9806,32,40,0,0
9806,30,36,0,0
9799,30,32,0,0
9805,30,30,0,0
9794,34,31,0,0
9800,36,32,0,0
9810,33,33,0,0
9822,31,33,0,0
9774,31,32,0,0
9782,40,33,0,0
9780,55,39,0,0
9812,55,45,0,0
9813,39,47,0,0
9812,24,43,0,0
9812,24,35,0,0
9799,24,27,0,0
9825,24,24,0,0
9829,17,22,0,0
9807,20,21,0,0
9818,14,18,0,0
9814,20,17,0,0
9788,25,19,0,0
9775,35,23,0,0
9811,36,29,0,0
9822,36,33,0,0
9809,26,33,0,0
9828,19,29,0,0
9811,19,25,0,0
9819,21,21,0,0
9819,17,19,0,0
9820,17,18,0,0
9824,16,17,0,0
9805,16,16,0,0
9798,23,18,0,0
9784,34,22,0,0
9793,40,28,0,0
9835,40,34,0,0
9805,37,37,0,0
9808,29,36,0,0
9813,25,32,0,0
9822,25,29,0,0
9827,18,24,0,0
9820,15,20,0,0
9822,14,18,0,0
9828,11,14,0,0
9797,15,13,0,1
9778,26,16,0,0
9778,48,25,0,0
9802,48,34,0,0
9770,58,45,0,0
9759,62,54,0,0
9762,70,59,0,0
9726,75,66,0,0
9712,93,75,0,0
9715,115,88,0,0
9703,122,101,0,0
9683,128,114,0,0
9689,140,126,0,0
9668,150,135,0,0
9711,150,142,0,0
9693,145,146,0,0
9685,147,148,1,0
9697,141,145,0,0
9710,141,143,0,0
9701,137,141,0,0
9706,132,137,0,0
9719,128,134,0,0
9747,123,130,0,0
9732,110,123,0,0
9732,104,116,0,0
9731,104,110,0,0
9722,104,105,0,0
9755,104,104,0,0
9757,93,101,0,0
9748,84,96,0,0
9772,80,90,0,0
9754,80,84,0,0
9753,82,81,0,0
9765,76,79,0,0
9754,82,80,0,0
9763,77,79,0,0
9766,72,76,0,0
9765,72,75,0,0
9741,72,73,0,0
9765,71,71,0,0
9770,71,71,0,0
9770,68,70,0,0
9764,68,69,0,0
9782,66,68,0,0
9772,65,66,0,0
9772,64,65,0,0
9781,59,63,0,0
9794,59,61,0,0
9777,57,59,0,0
9774,57,58,0,0
9739,60,58,0,0
9775,61,58,0,0
9788,61,59,0,0
9785,56,59,0,0
9771,56,58,0,0
9783,52,56,0,0
9767,59,55,0,0
